obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
1.2376543921766408e+18,118.663236264366,39.6424291996807,22.85773,22.18874,21.35562,21.26577,20.93935,2076,301,6,100,1.05352201067784e+19,QSO,1.174289,9357,57807,635
1.237663233913652e+18,358.991829744244,32.7490859208678,22.6256,22.02104,22.06787,22.44037,22.17338,4135,301,3,252,8.727075163643074e+18,STAR,-0.001960059,7751,58081,818
1.237678617431376e+18,30.887222067625,1.18870964120799,18.18911,16.89469,16.42161,16.24627,16.18549,7717,301,1,536,8.255357438959835e+18,STAR,4.085216e-06,7332,56683,943
1.2376664642661908e+18,118.272262991483,66.1810270406864,17.57887,16.55078,16.21527,16.10371,16.09738,4887,301,4,256,3.3091840040700744e+18,STAR,-0.0001649837,2939,54515,597
1.237679323392902e+18,22.848076950098,-4.61196328939292,27.10401,22.65568,21.26362,20.04805,19.61308,7881,301,4,174,7.934489707542764e+18,GALAXY,0.5238518,7047,56572,993
1.237666465340785e+18,123.200526474925,66.8847181573815,19.75471,18.4413,17.90553,17.7269,17.62125,4887,301,6,269,3.699818501813412e+18,STAR,-6.492747e-05,3286,54910,405
1.2376613618354097e+18,203.967582607377,45.9293340627609,23.8611,20.71846,20.03971,19.79435,19.58279,3699,301,4,109,7.597651843100203e+18,STAR,-1.717299e-05,6748,56371,288
1.2376551067684047e+18,189.510984338851,58.7411197772507,21.37376,20.80187,20.84925,21.13449,20.34689,2243,301,1,353,7.696817897528907e+18,QSO,0.7936153,6836,56443,604
1.2376543814451855e+18,151.918090248633,57.3656739870586,21.94298,19.59741,18.11165,17.52896,17.16426,2074,301,2,191,7.977029538432702e+18,GALAXY,0.2933855,7085,56625,104
1.2376677361175764e+18,180.243421414208,23.073938641264,23.11455,21.20709,19.44976,18.62194,18.24635,5183,301,5,320,2.9758675987149885e+18,GALAXY,0.4564902,2643,54208,415
1.2376766723230935e+18,43.8069315288576,-2.88358023626708,22.92552,22.71491,22.44324,20.78204,19.76642,7264,301,2,155,8.807954395843286e+18,GALAXY,0.8659117,7823,56978,143
1.237659163343193e+18,228.553251512263,49.222850124878,25.10019,23.3049,21.41175,20.37682,19.7232,3187,301,5,20,9.492671971961625e+18,GALAXY,0.7407334,8431,57482,763
1.2376675492710323e+18,164.142012283491,22.696757733138,22.8226,20.89811,19.48638,18.57454,17.99821,5140,301,1,84,7.236413069509023e+18,GALAXY,0.5284206,6427,56328,925
1.237663785281192e+18,22.9648494083052,0.876034964444952,25.62939,21.3913,19.98634,18.81294,18.13539,4263,301,6,269,1.2138278960580792e+18,STAR,-1.408066e-05,1078,52643,392
1.2376651269301207e+18,176.268553005359,33.432292927676,21.83964,19.87187,18.8392,18.3688,18.09703,4576,301,1,399,1.1553015766489256e+19,GALAXY,0.1312984,10261,58462,570
1.2376675374647875e+18,136.816717069559,17.0030774236428,26.61082,22.08935,20.25873,19.20076,18.62303,5137,301,3,159,5.963899052575971e+18,GALAXY,0.5628381,5297,55913,26
1.2376674317164874e+18,169.863745026212,27.7983851231628,24.98477,21.998,20.30022,18.3646,17.31518,5112,301,6,392,2.495097611325827e+18,STAR,7.991327e-05,2216,53795,376
1.237667229292692e+18,24.1256712165619,7.71411154678635,23.14042,22.40757,20.6306,19.69073,19.23944,5065,301,5,34,5.126228691731633e+18,GALAXY,0.5221394,4553,55584,23
1.237661966893515e+18,185.745967666872,42.2574568488566,21.15543,20.9155,20.91872,20.78293,20.53747,3840,301,3,179,9.4386897999325e+18,QSO,1.544197,8383,57518,985
1.237665547826627e+18,239.314887282049,15.6514796269616,23.47448,21.23772,20.64201,20.56834,20.45865,4674,301,1,242,4.415897721610984e+18,STAR,0.0001499548,3922,55333,430
1.2376637831290555e+18,12.3329131238948,-0.634485140684111,21.56375,21.4095,21.46501,21.23971,20.86722,4263,301,2,198,8.86212925661409e+18,QSO,1.790955,7871,56902,622
1.2376634588499151e+18,316.496406375878,1.0288688379375,20.25777,18.18473,17.12617,16.6809,16.3639,4187,301,6,59,1.109126073112619e+18,GALAXY,0.1181542,985,52431,417
1.2376529340349156e+18,321.335936043494,-7.98612723080941,20.70336,18.53499,17.43491,16.96153,16.58304,1737,301,2,95,7.205998916670853e+17,GALAXY,0.1165041,640,52200,87
1.2376623072709837e+18,234.757331809695,31.3455531948456,19.12679,17.93776,17.42463,17.14761,17.01897,3919,301,5,199,1.5640207084916838e+18,GALAXY,0.05454778,1389,53135,530
1.2376788552360934e+18,326.985071760989,8.22389430999917,24.58133,23.17917,21.52304,20.12439,19.56942,7772,301,4,92,4.607423028858738e+18,GALAXY,0.6869109,4092,55477,875
1.237670964849345e+18,141.710405631688,14.5396829034081,23.04639,22.00385,20.59193,19.59181,19.10101,5935,301,3,169,5.978617941033507e+18,GALAXY,0.5457475,5310,55983,325
1.2376581926882516e+18,133.114252382744,37.0567311500049,24.75384,22.72868,20.87288,19.57037,19.14761,2961,301,5,137,5.189541331228449e+18,GALAXY,0.6458565,4609,56251,977
1.237662303506858e+18,209.421979332915,51.0530042217113,20.5605,18.67909,17.56956,17.1117,16.74978,3918,301,6,107,1.8803983312266465e+18,GALAXY,0.2100051,1670,54553,529
1.2376654431344394e+18,215.689600276866,27.393531993921,20.26185,18.45844,17.45709,17.03152,16.72991,4649,301,6,206,2.398182534727887e+18,GALAXY,0.1389539,2130,53881,57
1.2376803058592e+18,332.22894249657,23.0526858833019,23.4662,21.76364,20.4713,19.93515,19.58125,8110,301,2,60,8.53335658908381e+18,GALAXY,0.4191355,7579,56954,586
1.2376802650764744e+18,5.7110217439788,-6.37631305853789,22.95377,20.92473,20.98164,20.82944,21.03028,8100,301,6,357,8.050447777640241e+18,QSO,2.52062,7150,56597,958
1.2376619701153956e+18,193.158567443954,6.33704561861856,18.3132,16.73632,15.91756,15.5174,15.21269,3841,301,1,189,2.0176685049158308e+18,GALAXY,0.08059498,1792,54270,203
1.237654391639114e+18,118.060829879163,38.1449840084746,19.75563,18.32907,17.615,17.21822,16.94101,2076,301,5,90,6.114805063656673e+17,GALAXY,0.08529844,543,52017,425
1.2376551298389775e+18,247.761943349511,44.6439124581869,22.63792,21.50914,21.49792,21.615,21.28643,2248,301,4,126,6.789355211192556e+18,STAR,0.0003272693,6030,56097,650
1.2376785986110108e+18,322.630164710833,3.09523643956902,25.3566,23.24891,21.52091,20.44981,19.79461,7712,301,6,80,1.2742938310550508e+19,GALAXY,0.6139265,11318,58419,11
1.237662223541928e+18,216.842674193376,34.3006988347276,20.26575,18.53444,17.45257,16.96719,16.65507,3900,301,1,547,2.0718221879746496e+18,GALAXY,0.1870347,1840,53472,605
1.237658203429208e+18,156.435733543967,45.3892605127124,19.37462,18.1566,17.73855,17.49576,17.30305,2964,301,1,191,1.062855603229059e+18,GALAXY,0.04365304,944,52614,22
1.2376529474586545e+18,15.7075003133625,-9.98771865589592,19.97889,18.1678,17.17006,16.68867,16.34484,1740,301,3,125,7.408526200668426e+17,GALAXY,0.1492853,658,52146,38
1.237661355928781e+18,168.586277351295,45.1971970267965,21.53928,20.87008,19.84504,19.37735,18.94441,3698,301,1,93,7.485129472582374e+18,GALAXY,0.3002947,6648,56383,534
1.237661210974028e+18,225.757592893701,41.6358224438452,22.13413,21.93489,21.64723,21.4378,20.86196,3664,301,3,99,9.595022497662915e+18,QSO,2.060514,8522,58193,376
1.2376651269398858e+18,202.88192305029,32.5098886620712,21.93592,21.0625,20.75845,20.69447,20.88706,4576,301,1,548,1.1548373629470527e+19,STAR,0.0002214283,10257,58526,66
1.237660763235156e+18,150.027069695006,38.1722103047216,16.38018,15.22086,14.72885,14.47028,14.24351,3560,301,1,274,1.4377813742526403e+18,GALAXY,0.02314036,1277,52765,26
1.237655693558154e+18,238.837844288102,-0.594016590631797,23.10458,21.46466,19.52997,18.76498,18.22832,2379,301,6,198,3.862496671317626e+17,GALAXY,0.4400397,343,51692,240
1.2376507945996127e+18,123.854418798427,-1.10653858853696,17.7459,16.22308,15.64555,15.42981,15.31997,1239,301,1,23,2.31604186821692e+18,STAR,9.623459e-05,2057,53816,239
1.237659325482402e+18,220.832615607988,54.3359946970625,20.56944,20.55979,20.63203,20.39541,20.43336,3225,301,3,84,9.456463960603908e+18,QSO,1.783002,8399,57843,111
1.2376619577574031e+18,199.827352263509,50.7689951409391,21.64838,21.63164,21.35252,21.42114,21.55724,3838,301,2,37,9.243725221185475e+18,QSO,1.092309,8210,57426,316
1.237671128056464e+18,181.642195653011,8.7352008743415,23.272,21.59172,21.31921,21.29306,21.3042,5973,301,3,144,6.067736381618412e+18,QSO,2.912449,5389,55953,952
1.237678879414682e+18,10.7514484617186,-3.51521817097694,21.16498,20.67661,19.95852,19.2717,19.11723,7778,301,1,388,7.92657322385633e+18,GALAXY,0.6240489,7040,56574,865
1.2376634588505713e+18,318.064920800728,0.863097254195273,21.20251,21.14745,21.04534,21.28723,23.7511,4187,301,6,69,5.788335630120671e+18,STAR,-3.666267e-05,5141,55746,306
1.237651539784369e+18,175.1610685226,67.8768149003444,23.86678,22.40926,20.51089,19.38559,19.09623,1412,301,5,144,8.010922259941447e+18,GALAXY,0.5514291,7115,56667,525
1.237661361298539e+18,203.903043913507,45.6055410297591,24.52818,22.40487,20.72576,19.80544,19.28533,3699,301,3,109,7.461576009135184e+18,GALAXY,0.5588754,6627,56369,863
1.2376613607569492e+18,188.473018760363,46.7606446313056,21.94129,20.3345,19.80958,19.75478,19.18962,3699,301,2,37,7.506437458659399e+18,STAR,-0.0004198433,6667,56412,228
1.2376621956119923e+18,219.8236999018,37.7025865705471,23.80298,21.88951,20.23275,19.33565,18.91325,3893,301,5,354,5.824363607539079e+18,GALAXY,0.4807224,5173,56046,303
1.237661976547099e+18,184.736042905056,8.25913668230606,24.36703,22.06346,21.65329,21.14335,20.70007,3842,301,5,25,6.075422517551716e+18,QSO,2.155205,5396,55947,242
1.237654383585723e+18,129.257649722919,48.7198035291025,24.22567,21.36718,21.17308,21.1565,20.91254,2074,301,6,85,8.240714697537772e+18,QSO,2.62579,7319,56962,921
1.2376737066507968e+18,111.513793575808,41.5340735483588,21.71465,21.23442,21.05691,20.65995,20.45895,6573,301,6,195,1.199775859418152e+19,QSO,1.814561,10656,58163,615
1.2376648370041004e+18,135.56405703969,27.1289709484906,23.07628,22.42915,20.80918,19.81439,19.2324,4508,301,5,159,6.50792669181774e+18,GALAXY,0.649949,5780,56274,819
1.2376602419258982e+18,53.6155324109657,0.851356375166726,24.18734,23.25383,21.41646,20.29076,19.66437,3438,301,6,158,1.70811335320695e+18,STAR,0.0001038341,1517,52934,448
1.2376582034480832e+18,218.550013472858,43.7586028088774,24.21287,23.72714,21.77643,20.77461,19.92881,2964,301,1,479,9.56570979197389e+18,GALAXY,0.6394413,8496,58159,233
1.237653665249494e+18,128.67013862043,1.66857038717735,24.70283,22.33459,20.53897,19.52479,19.12702,1907,301,4,40,5.397644237616732e+18,GALAXY,0.5137759,4794,55647,291
1.237659324415148e+18,238.397633182782,44.7028086158553,23.75955,24.4128,19.81792,18.59367,18.25496,3225,301,1,183,6.792671062914258e+18,GALAXY,0.62119,6033,56069,425
